Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
calculator-pendaki,,,,2023-08-12 02:17:55,2023-08-12 02:19:07,1m - 11.816s,PASSED
,,,,,,,
Test Cases/calculator/calculate-test,,,,2023-08-12 02:17:56,2023-08-12 02:18:27,31.808s,PASSED
"startApplication(""mobileapp/Calculator_v8.1.apk"", false)",,,,2023-08-12 02:17:56,2023-08-12 02:18:21,24.364s,PASSED
"tap(findTestObject(""mobileapp-calculator/Button - 4""), 0)",,,,2023-08-12 02:18:21,2023-08-12 02:18:23,2.251s,PASSED
"tap(findTestObject(""mobileapp-calculator/perkalian.Button -""), 0)",,,,2023-08-12 02:18:23,2023-08-12 02:18:24,1.078s,PASSED
"tap(findTestObject(""mobileapp-calculator/Button - 5""), 0)",,,,2023-08-12 02:18:24,2023-08-12 02:18:25,1.041s,PASSED
"tap(findTestObject(""mobileapp-calculator/samadengan.Button -""), 0)",,,,2023-08-12 02:18:25,2023-08-12 02:18:27,1.424s,PASSED
closeApplication(),,,,2023-08-12 02:18:27,2023-08-12 02:18:27,0.826s,PASSED
,,,,,,,
Test Cases/mobileapp-pendaki/open detail app-pendaki,,,,2023-08-12 02:18:27,2023-08-12 02:19:07,39.140s,PASSED
"startApplication(""/Users/riyan/Desktop/katalon_android/EduApp/mobileapp/app-pendaki.apk"", true)",,,,2023-08-12 02:18:28,2023-08-12 02:18:54,25.491s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2023-08-12 02:18:54,2023-08-12 02:18:57,3.125s,PASSED
"tap(findTestObject(""Object Repository/mobileapp-pendaki/burger.ImageButton""), 0)",,,,2023-08-12 02:18:57,2023-08-12 02:18:58,0.674s,PASSED
"tap(findTestObject(""Object Repository/mobileapp-pendaki/android.widget.CheckedTextView - Peralatan""), 0)",,,,2023-08-12 02:18:58,2023-08-12 02:18:59,1.148s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2023-08-12 02:18:59,2023-08-12 02:19:02,3.012s,PASSED
"tap(findTestObject(""Object Repository/mobileapp-pendaki/tenda.RelativeLayout""), 0)",,,,2023-08-12 02:19:02,2023-08-12 02:19:02,0.343s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2023-08-12 02:19:02,2023-08-12 02:19:05,3.010s,PASSED
closeApplication(),,,,2023-08-12 02:19:05,2023-08-12 02:19:07,1.459s,PASSED
